index,PassengerId,Survived,Pclass,Sex,FamilySize,Age,SibSp,Parch,Fare,Embarked
366,367,1,1,0,1,60.0,1,0,75.25,2
369,370,1,1,0,0,24.0,0,0,69.3,2
370,371,1,1,1,1,25.0,1,0,55.4417,2
377,378,0,1,1,2,27.0,0,2,211.5,2
390,391,1,1,1,3,36.0,1,2,120.0,0
393,394,1,1,0,1,23.0,1,0,113.275,2
394,395,1,3,0,2,24.0,0,2,16.7,0
412,413,1,1,0,1,33.0,1,0,90.0,1
429,430,1,3,1,0,32.0,0,0,8.05,0
430,431,1,1,1,0,28.0,0,0,26.55,0
434,435,0,1,1,1,50.0,1,0,55.9,0
435,436,1,1,0,3,14.0,1,2,120.0,0
438,439,0,1,1,5,64.0,1,4,263.0,0
445,446,1,1,1,2,4.0,0,2,81.8583,0
449,450,1,1,1,0,52.0,0,0,30.5,0
452,453,0,1,1,0,30.0,0,0,27.75,2
453,454,1,1,1,1,49.0,1,0,89.1042,2
456,457,0,1,1,0,65.0,0,0,26.55,0
460,461,1,1,1,0,48.0,0,0,26.55,0
462,463,0,1,1,0,47.0,0,0,38.5,0
473,474,1,2,0,0,23.0,0,0,13.7917,2
484,485,1,1,1,1,25.0,1,0,91.0792,2
486,487,1,1,0,1,35.0,1,0,90.0,0
487,488,0,1,1,0,58.0,0,0,29.7,2
492,493,0,1,1,0,55.0,0,0,30.5,0
496,497,1,1,0,1,54.0,1,0,78.2667,2
498,499,0,1,0,3,25.0,1,2,151.55,0
504,505,1,1,0,0,16.0,0,0,86.5,0
505,506,0,1,1,1,18.0,1,0,108.9,2
512,513,1,1,1,0,36.0,0,0,26.2875,0
515,516,0,1,1,0,47.0,0,0,34.0208,0
516,517,1,2,0,0,34.0,0,0,10.5,0
520,521,1,1,0,0,30.0,0,0,93.5,0
523,524,1,1,0,1,44.0,0,1,57.9792,2
536,537,0,1,1,0,45.0,0,0,26.55,0
539,540,1,1,0,2,22.0,0,2,49.5,2
540,541,1,1,0,2,36.0,0,2,71.0,0
544,545,0,1,1,1,50.0,1,0,106.425,2
550,551,1,1,1,2,17.0,0,2,110.8833,2
556,557,1,1,0,1,48.0,1,0,39.6,2
558,559,1,1,0,2,39.0,1,1,79.65,0
571,572,1,1,0,2,53.0,2,0,51.4792,0
572,573,1,1,1,0,36.0,0,0,26.3875,0
577,578,1,1,0,1,39.0,1,0,55.9,0
581,582,1,1,0,2,39.0,1,1,110.8833,2
583,584,0,1,1,0,36.0,0,0,40.125,2
585,586,1,1,0,2,18.0,0,2,79.65,0
587,588,1,1,1,2,60.0,1,1,79.2,2
591,592,1,1,0,1,52.0,1,0,78.2667,2
599,600,1,1,1,1,49.0,1,0,56.9292,2
609,610,1,1,0,0,40.0,0,0,153.4625,0
618,619,1,2,0,3,4.0,2,1,39.0,0
621,622,1,1,1,1,42.0,1,0,52.5542,0
625,626,0,1,1,0,61.0,0,0,32.3208,0
627,628,1,1,0,0,21.0,0,0,77.9583,0
630,631,1,1,1,0,80.0,0,0,30.0,0
632,633,1,1,1,0,32.0,0,0,30.5,2
641,642,1,1,0,0,24.0,0,0,69.3,2
645,646,1,1,1,1,48.0,1,0,76.7292,2
647,648,1,1,1,0,56.0,0,0,35.5,2
659,660,0,1,1,2,58.0,0,2,113.275,2
662,663,0,1,1,0,47.0,0,0,25.5875,0
671,672,0,1,1,1,31.0,1,0,52.0,0
679,680,1,1,1,1,36.0,0,1,512.3292,2
681,682,1,1,1,0,27.0,0,0,76.7292,2
689,690,1,1,0,1,15.0,0,1,211.3375,0
690,691,1,1,1,1,31.0,1,0,57.0,0
698,699,0,1,1,2,49.0,1,1,110.8833,2
699,700,0,3,1,0,42.0,0,0,7.65,0
700,701,1,1,0,1,18.0,1,0,227.525,2
701,702,1,1,1,0,35.0,0,0,26.2875,0
707,708,1,1,1,0,42.0,0,0,26.2875,0
710,711,1,1,0,0,24.0,0,0,49.5042,2
712,713,1,1,1,1,48.0,1,0,52.0,0
715,716,0,3,1,0,19.0,0,0,7.65,0
716,717,1,1,0,0,38.0,0,0,227.525,2
717,718,1,2,0,0,27.0,0,0,10.5,0
724,725,1,1,1,1,27.0,1,0,53.1,0
730,731,1,1,0,0,29.0,0,0,211.3375,0
737,738,1,1,1,0,35.0,0,0,512.3292,2
741,742,0,1,1,1,36.0,1,0,78.85,0
742,743,1,1,0,4,21.0,2,2,262.375,2
745,746,0,1,1,2,70.0,1,1,71.0,0
748,749,0,1,1,1,19.0,1,0,53.1,0
751,752,1,3,1,1,6.0,0,1,12.475,0
759,760,1,1,0,0,33.0,0,0,86.5,0
763,764,1,1,0,3,36.0,1,2,120.0,0
765,766,1,1,0,1,51.0,1,0,77.9583,0
772,773,0,2,0,0,57.0,0,0,10.5,0
779,780,1,1,0,1,43.0,0,1,211.3375,0
781,782,1,1,0,1,17.0,1,0,57.0,0
782,783,0,1,1,0,29.0,0,0,30.0,0
789,790,0,1,1,0,46.0,0,0,79.2,2
796,797,1,1,0,0,49.0,0,0,25.9292,0
802,803,1,1,1,3,11.0,1,2,120.0,0
806,807,0,1,1,0,39.0,0,0,0.0,0
809,810,1,1,0,1,33.0,1,0,53.1,0
820,821,1,1,0,2,52.0,1,1,93.5,0
823,824,1,3,0,1,27.0,0,1,12.475,0
835,836,1,1,0,2,39.0,1,1,83.1583,2
853,854,1,1,0,1,16.0,0,1,39.4,0
857,858,1,1,1,0,51.0,0,0,26.55,0
862,863,1,1,0,0,48.0,0,0,25.9292,0
867,868,0,1,1,0,31.0,0,0,50.4958,0
871,872,1,1,0,2,47.0,1,1,52.5542,0
872,873,0,1,1,0,33.0,0,0,5.0,0
879,880,1,1,0,1,56.0,0,1,83.1583,2
887,888,1,1,0,0,19.0,0,0,30.0,0
889,890,1,1,1,0,26.0,0,0,30.0,2
